Mon 26 Apr 2021 03:12:13 PM CEST
sec,tmp,clk,thr
357,78,2000,0
358,78,2000,0
359,79,2000,0
360,78,2000,0
361,78,2000,0
362,78,2000,0
363,79,2000,0
364,78,2000,0
365,79,2000,0
366,79,2000,0
367,79,2000,0
368,79,2000,0
369,78,2000,0
370,79,2000,0
371,79,2000,0
372,78,2000,0
373,78,2000,0
374,79,2000,0
375,78,2000,0
376,79,2000,0
377,79,2000,0
378,79,2000,0
379,80,2000,0
380,79,2000,0
381,79,2000,0
382,79,2000,0
383,79,2000,0
384,78,2000,0
385,79,2000,0
386,79,2000,0
387,79,2000,0
388,79,2000,0
389,80,2000,0
390,79,2000,0
391,79,2000,0
392,80,2000,0
393,79,2000,0
394,80,2000,0
395,80,2000,0
396,80,2000,0
397,79,2000,0
398,80,2000,0
399,79,2000,0
400,80,2000,0
401,80,2000,0
402,80,2000,0
403,78,2000,0
404,80,2000,0
405,80,2000,0
406,81,2000,0
407,79,2000,0
408,80,2000,0
409,80,2000,0
410,80,2000,0
411,79,2000,0
412,79,2000,0
413,80,2000,0
414,80,2000,0
415,80,2000,0
416,80,2000,0
417,81,2000,0
418,81,2000,0
419,80,2000,0
420,80,2000,0
421,79,2000,0
422,80,2000,0
423,81,2000,0
424,81,2000,0
425,80,2000,0
426,79,2000,0
427,81,2000,0
428,81,2000,0
429,80,2000,0
430,80,2000,0
431,80,2000,0
432,81,2000,0
433,81,2000,0
434,81,2000,0
435,81,2000,0
436,81,2000,0
437,81,2000,0
438,80,2000,0
439,80,2000,0
440,80,2000,0
441,81,2000,0
442,80,2000,0
443,81,2000,0
444,81,2000,1
445,81,2000,0
446,80,2000,0
447,81,2000,0
448,82,2000,0
449,81,2000,0
450,81,2000,0
451,80,2000,0
452,81,2000,0
453,80,2000,0
454,81,2000,0
455,81,2000,0
456,81,2000,0
457,81,1333,1
458,81,2000,0
459,81,1333,1
460,80,2000,0
461,79,2000,0
462,81,2000,0
463,81,2000,0
464,81,2000,0
465,81,2000,0
466,79,2000,0
467,81,2000,0
468,82,1333,1
469,81,2000,0
470,82,2000,1
471,81,2000,0
472,80,2000,0
473,81,2000,0
474,81,2000,0
475,80,1333,0
476,80,2000,0
477,80,2000,1
478,79,2000,0
479,81,2000,0
480,81,2000,0
481,82,2000,0
482,81,2000,0
483,81,2000,0
484,80,2000,0
485,80,2000,0
486,81,2000,0
487,81,2000,0
488,81,2000,0
489,81,2000,0
490,80,2000,0
491,80,2000,0
492,82,2000,0
493,81,2000,0
494,81,1333,0
495,80,2000,0
496,81,2000,1
497,81,2000,0
498,81,1333,1
499,81,2000,0
500,81,2000,0
501,81,1333,0
502,80,2000,0
503,81,2000,0
504,81,2000,0
505,80,2000,0
506,81,2000,1
507,80,2000,0
508,80,2000,0
509,80,1333,0
510,81,2000,0
511,82,2000,0
512,81,2000,0
513,81,2000,0
514,80,2000,0
515,81,1333,1
516,82,2000,0
517,81,1333,1
518,81,2000,0
519,81,2000,0
520,81,2000,0
521,81,2000,0
522,81,2000,0
523,82,1333,1
524,81,2000,1
525,81,2000,0
526,81,2000,0
527,82,1333,1
528,81,2000,0
529,80,2000,0
530,82,2000,0
531,81,2000,0
532,80,2000,0
533,82,1333,1
534,82,2000,1
535,81,2000,1
536,81,2000,0
537,81,1333,1
538,80,2000,0
539,82,2000,0
540,81,2000,1
541,80,2000,0
542,82,1333,1
543,81,1333,1
544,80,2000,0
545,81,2000,0
546,81,2000,0
547,82,2000,0
548,82,2000,0
549,82,1333,1
550,81,1333,0
551,80,2000,0
552,82,1333,1
553,82,2000,0
554,81,2000,0
555,79,2000,0
556,81,2000,0
557,82,1333,1
558,80,2000,1
559,80,2000,0
560,80,2000,0
561,81,2000,0
562,81,2000,0
563,82,2000,0
564,81,1333,0
565,81,2000,0
566,81,2000,0
567,81,2000,0
568,81,2000,0
569,81,2000,0
570,82,1333,0
571,82,1333,1
572,81,1333,1
573,81,2000,0
574,80,2000,0
575,82,1333,1
576,80,2000,0
577,81,1333,1
578,83,2000,0
579,81,2000,0
580,81,2000,0
581,82,1333,1
582,82,2000,0
583,82,2000,0
584,81,1333,1
585,81,2000,0
586,81,1333,0
587,81,2000,0
588,81,2000,0
589,81,2000,0
590,82,1333,1
591,81,2000,0
592,82,2000,0
593,81,1333,1
594,82,1333,1
595,80,2000,0
596,81,2000,0
597,81,2000,0
598,81,1333,1
599,82,2000,0
600,82,1333,1
601,81,2000,0
602,80,2000,0
603,81,2000,0
604,81,1333,0
605,80,2000,0
606,80,2000,0
607,82,1333,1
608,82,1333,1
609,82,2000,1
610,80,2000,0
611,80,2000,0
612,79,2000,0
613,82,1333,1
614,82,1333,0
615,83,2000,1
616,81,2000,0
617,80,2000,1
618,81,1333,1
619,82,2000,0
620,81,2000,0
621,81,2000,0
622,82,2000,0
623,81,2000,0
624,81,2000,0
625,81,2000,0
626,81,2000,0
627,82,2000,0
628,81,2000,0
629,81,2000,1
630,82,1333,1
631,80,2000,0
632,83,2000,0
633,82,1333,1
634,82,2000,0
635,81,2000,0
636,81,2000,0
637,83,2000,0
638,81,2000,1
639,81,2000,0
640,81,1333,1
641,81,2000,0
642,82,2000,0
643,81,2000,0
644,82,2000,0
645,81,2000,0
646,81,1333,1
647,82,1333,1
648,81,2000,0
649,81,2000,0
650,81,1333,1
651,80,2000,0
652,82,1333,1
653,82,1333,1
654,81,2000,0
655,81,2000,0
656,81,2000,0
657,80,2000,0
658,81,2000,0
659,81,2000,0
660,82,1333,1
661,76,900,0
662,74,600,0
663,74,600,0
664,73,600,0
665,73,600,0
666,71,600,0
667,71,600,0
668,70,600,0
669,70,600,0
670,70,600,0
671,70,700,0
672,70,1200,0
673,70,600,0
674,69,600,0
675,68,600,0
676,69,2000,0
677,68,600,0
678,70,2000,0
679,68,600,0
680,68,600,0
681,68,600,0
682,69,700,0
683,68,600,0
684,67,800,0
685,68,600,0
686,68,600,0
687,68,600,0
688,67,600,0
689,67,600,0
690,67,2000,0
691,67,900,0
692,67,2000,0
693,66,600,0
694,67,2000,0
695,66,600,0
696,67,600,0
697,66,800,0
698,66,600,0
699,65,600,0
700,65,600,0
701,66,600,0
702,66,1300,0
703,65,600,0
704,65,700,0
705,66,700,0
706,66,600,0
707,65,600,0
708,65,600,0
709,65,600,0
710,65,600,0
711,65,600,0
712,65,600,0
713,65,2000,0
714,64,600,0
715,64,700,0
716,63,600,0
717,63,900,0
718,64,600,0
719,64,1100,0
Mon 26 Apr 2021 03:24:49 PM CEST
